system,step,shared_future,fragmentation,coherence,survivability
competitive,584,0.0,1.0,1.0,0.74
competitive,585,0.0,1.0,1.0,0.74
competitive,586,0.0,1.0,1.0,0.74
competitive,587,0.0,1.0,1.0,0.74
competitive,588,0.0,1.0,1.0,0.74
competitive,589,0.0,1.0,1.0,0.74
competitive,590,0.0,1.0,1.0,0.74
competitive,591,0.0,1.0,1.0,0.74
competitive,592,0.0,1.0,1.0,0.74
competitive,593,0.0,1.0,1.0,0.74
competitive,594,0.0,1.0,1.0,0.74
competitive,595,0.0,1.0,1.0,0.74
competitive,596,0.0,1.0,1.0,0.74
competitive,597,0.0,1.0,1.0,0.74
competitive,598,0.0,1.0,1.0,0.74
competitive,599,0.0,1.0,1.0,0.74
competitive,600,-0.05,1.06,1.0,0.7133
competitive,601,0.0,1.0,1.0,0.74
competitive,602,0.0,1.0,1.0,0.74
competitive,603,0.0,1.0,1.0,0.74
competitive,604,0.0,1.0,1.0,0.74
competitive,605,0.0,1.0,1.0,0.74
competitive,606,0.0,1.0,1.0,0.74
competitive,607,0.0,1.0,1.0,0.74
competitive,608,0.0,1.0,1.0,0.74
competitive,609,0.0,1.0,1.0,0.74
competitive,610,0.0,1.0,1.0,0.74
competitive,611,0.0,1.0,1.0,0.74
competitive,612,0.0,1.0,1.0,0.74
competitive,613,0.0,1.0,1.0,0.74
competitive,614,0.0,1.0,1.0,0.74
competitive,615,0.0,1.0,1.0,0.74
competitive,616,0.0,1.0,1.0,0.74
competitive,617,0.0,1.0,1.0,0.74
competitive,618,0.0,1.0,1.0,0.74
competitive,619,0.0,1.0,1.0,0.74
competitive,620,0.0,1.0,1.0,0.74
competitive,621,0.0,1.0,1.0,0.74
competitive,622,0.0,1.0,1.0,0.74
competitive,623,0.0,1.0,1.0,0.74
competitive,624,0.0,1.0,1.0,0.74
